DATE,DAY,TIME,TEMPERATURE (°C),HUMIDITY (%)
22-02-2025,Saturday,08:00 PM,28.70 °C,90%
22-02-2025,Saturday,08:01 PM,28.72 °C,92%
22-02-2025,Saturday,08:02 PM,28.78 °C,95%
22-02-2025,Saturday,08:03 PM,28.80 °C,90%
22-02-2025,Saturday,08:04 PM,28.80 °C,92%
22-02-2025,Saturday,08:05 PM,28.80 °C,90%
22-02-2025,Saturday,08:06 PM,28.82 °C,90%
22-02-2025,Saturday,08:07 PM,28.82 °C,90%
22-02-2025,Saturday,08:08 PM,28.83 °C,90%
22-02-2025,Saturday,08:09 PM,28.84 °C,90%
22-02-2025,Saturday,08:10 PM,28.84°C,94%
22-02-2025,Saturday,08:11 PM,28.84°C,90%
22-02-2025,Saturday,08:12 PM,28.84°C,90%
22-02-2025,Saturday,08:13 PM,28.84°C,90%
22-02-2025,Saturday,08:14 PM,28.84°C,90%
22-02-2025,Saturday,08:15 PM,28.84°C,96%
22-02-2025,Saturday,08:16 PM,28.84°C,90%
22-02-2025,Saturday,08:17 PM,28.84°C,90%
22-02-2025,Saturday,08:18 PM,28.84°C,90%
22-02-2025,Saturday,08:19 PM,28.84°C,90%
22-02-2025,Saturday,08:20 PM,28.85 °C,90%
22-02-2025,Saturday,08:21 PM,28.83 °C,90%
22-02-2025,Saturday,08:22 PM,28.85 °C,93%
22-02-2025,Saturday,08:23 PM,28.85 °C,90%
22-02-2025,Saturday,08:24 PM,28.85 °C,90%
22-02-2025,Saturday,08:25 PM,28.85 °C,90%
22-02-2025,Saturday,08:26 PM,28.90 °C,90%
22-02-2025,Saturday,08:27 PM,28.89 °C,95%
22-02-2025,Saturday,08:28 PM,28.90 °C,90%
22-02-2025,Saturday,08:29 PM,28.90 °C,90%
22-02-2025,Saturday,08:30 PM,28.90 °C,95%
25-02-2025,Tuesday,11:00 PM,29.50 °C,80%
25-02-2025,Tuesday,11:01 PM,29.55 °C,82%
25-02-2025,Tuesday,11:02 PM,29.60 °C,84%
25-02-2025,Tuesday,11:03 PM,29.62 °C,86%
25-02-2025,Tuesday,11:04 PM,29.61 °C,85%
25-02-2025,Tuesday,11:05 PM,29.58 °C,83%
25-02-2025,Tuesday,11:06 PM,29.56 °C,81%
25-02-2025,Tuesday,11:07 PM,29.63 °C,88%
25-02-2025,Tuesday,11:08 PM,29.60 °C,84%
25-02-2025,Tuesday,11:09 PM,29.61 °C,85%
25-02-2025,Tuesday,11:10 PM,29.60 °C,84%
25-02-2025,Tuesday,11:11 PM,29.61 °C,85%
25-02-2025,Tuesday,11:12 PM,29.60 °C,84%
25-02-2025,Tuesday,11:13 PM,29.60 °C,84%
25-02-2025,Tuesday,11:14 PM,29.60 °C,84%
25-02-2025,Tuesday,11:15 PM,29.60 °C,84%
25-02-2025,Tuesday,11:16 PM,29.60 °C,84%
25-02-2025,Tuesday,11:17 PM,29.60 °C,84%
25-02-2025,Tuesday,11:18 PM,29.60 °C,84%
25-02-2025,Tuesday,11:19 PM,29.60 °C,84%
25-02-2025,Tuesday,11:20 PM,29.60 °C,84%
25-02-2025,Tuesday,11:21 PM,29.60 °C,84%
25-02-2025,Tuesday,11:22 PM,29.60 °C,84%
25-02-2025,Tuesday,11:23 PM,29.60 °C,84%
25-02-2025,Tuesday,11:24 PM,29.62 °C,86%
25-02-2025,Tuesday,11:25 PM,29.60 °C,84%
25-02-2025,Tuesday,11:26 PM,29.60 °C,84%
25-02-2025,Tuesday,11:27 PM,29.60 °C,84%
25-02-2025,Tuesday,11:28 PM,29.61 °C,81%
25-02-2025,Tuesday,11:29 PM,29.60 °C,84%
25-02-2025,Tuesday,11:30 PM,29.60 °C,84%
